cfn_type,cfn_namespace,cfn_resource,slug,primary_identifier,additional_identifiers,arn_property,has_read_handler,taggable,relationship_refs,description
AWS::HealthImaging::Datastore,HealthImaging,Datastore,healthimaging.datastore,DatastoreId,,DatastoreArn,yes,yes,,Definition of AWS::HealthImaging::Datastore Resource Type
AWS::HealthLake::DataTransformationProfile,HealthLake,DataTransformationProfile,healthlake.data_transformation_profile,Arn,ProfileId,Arn,yes,yes,,Creates a Data Transformation Profile in AWS HealthLake that converts healthcare data from a source format (such as C-CDA or CSV) into FHIR R4. A profile is immutable once created; to change its templ
AWS::HealthLake::FHIRDatastore,HealthLake,FHIRDatastore,healthlake.fhir_datastore,DatastoreId,,DatastoreArn,yes,yes,,HealthLake FHIR Datastore
AWS::IAM::AccessKey,IAM,AccessKey,iam.access_key,Id,,,no,no,,Resource Type definition for AWS::IAM::AccessKey
AWS::IAM::Group,IAM,Group,iam.group,GroupName,,Arn,yes,no,,"Creates a new group.   For information about the number of groups you can create, see [Limitations on Entities](https://docs.aws.amazon.com/IAM/latest/UserGuide/LimitationsOnEntities.html) in the *Use"
AWS::IAM::GroupPolicy,IAM,GroupPolicy,iam.group_policy,"PolicyName,GroupName",,,yes,no,,"Adds or updates an inline policy document that is embedded in the specified IAM group.  A group can also have managed policies attached to it. To attach a managed policy to a group, use [AWS::IAM::Gro"
AWS::IAM::InstanceProfile,IAM,InstanceProfile,iam.instance_profile,InstanceProfileName,,Arn,yes,no,,"Creates a new instance profile. For information about instance profiles, see [Using instance profiles](https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_use_switch-role-ec2_instance-profiles.h"
AWS::IAM::ManagedPolicy,IAM,ManagedPolicy,iam.managed_policy,PolicyArn,,PolicyArn,yes,no,,Creates a new managed policy for your AWS-account.  This operation creates a policy version with a version identifier of ``v1`` and sets v1 as the policy's default version. For more information about 
AWS::IAM::OIDCProvider,IAM,OIDCProvider,iam.oidc_provider,Arn,,Arn,yes,yes,,Resource Type definition for AWS::IAM::OIDCProvider
AWS::IAM::Policy,IAM,Policy,iam.policy,Id,,,no,no,,"Adds or updates an inline policy document that is embedded in the specified IAM group, user or role.  An IAM user can also have a managed policy attached to it. For information about policies, see [Ma"
AWS::IAM::Role,IAM,Role,iam.role,RoleName,,Arn,yes,yes,,"Creates a new role for your AWS-account.   For more information about roles, see [IAM roles](https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles.html) in the *IAM User Guide*. For information ab"
AWS::IAM::RolePolicy,IAM,RolePolicy,iam.role_policy,"PolicyName,RoleName",,,yes,no,,"Adds or updates an inline policy document that is embedded in the specified IAM role.  When you embed an inline policy in a role, the inline policy is used as part of the role's access (permissions) p"
AWS::IAM::SAMLProvider,IAM,SAMLProvider,iam.saml_provider,Arn,,Arn,yes,yes,,Resource Type definition for AWS::IAM::SAMLProvider
AWS::IAM::ServerCertificate,IAM,ServerCertificate,iam.iam_certificate,ServerCertificateName,,Arn,yes,yes,,Resource Type definition for AWS::IAM::ServerCertificate
AWS::IAM::ServiceLinkedRole,IAM,ServiceLinkedRole,iam.service_linked_role,RoleName,,,yes,no,,Resource Type definition for AWS::IAM::ServiceLinkedRole
AWS::IAM::User,IAM,User,iam.user,UserName,,Arn,yes,yes,,"Creates a new IAM user for your AWS-account.   For information about quotas for the number of IAM users you can create, see [IAM and quotas](https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_"
AWS::IAM::UserPolicy,IAM,UserPolicy,iam.user_policy,"PolicyName,UserName",,,yes,no,,"Adds or updates an inline policy document that is embedded in the specified IAM user.  An IAM user can also have a managed policy attached to it. To attach a managed policy to a user, use [AWS::IAM::U"
AWS::IAM::UserToGroupAddition,IAM,UserToGroupAddition,iam.user_to_group_addition,Id,,,no,no,,Resource Type definition for AWS::IAM::UserToGroupAddition
AWS::IAM::VirtualMFADevice,IAM,VirtualMFADevice,iam.virtual_mfa_device,SerialNumber,,,yes,no,,Resource Type definition for AWS::IAM::VirtualMFADevice
AWS::IVS::Channel,IVS,Channel,ivs.channel,Arn,,Arn,yes,yes,,Resource Type definition for AWS::IVS::Channel
AWS::IVS::EncoderConfiguration,IVS,EncoderConfiguration,ivs.encoder_configuration,Arn,,Arn,yes,yes,,Resource Type definition for AWS::IVS::EncoderConfiguration.
AWS::IVS::IngestConfiguration,IVS,IngestConfiguration,ivs.ingest_configuration,Arn,,Arn,yes,yes,,Resource Type definition for AWS::IVS::IngestConfiguration
AWS::IVS::PlaybackKeyPair,IVS,PlaybackKeyPair,ivs.playback_key_pair,Arn,,Arn,yes,yes,,Resource Type definition for AWS::IVS::PlaybackKeyPair
AWS::IVS::PlaybackRestrictionPolicy,IVS,PlaybackRestrictionPolicy,ivs.playback_restriction_policy,Arn,,Arn,yes,yes,,Resource Type definition for AWS::IVS::PlaybackRestrictionPolicy.
AWS::IVS::PublicKey,IVS,PublicKey,ivs.public_key,Arn,,Arn,yes,yes,,Resource Type definition for AWS::IVS::PublicKey
AWS::IVS::RecordingConfiguration,IVS,RecordingConfiguration,ivs.recording_configuration,Arn,,Arn,yes,yes,,Resource Type definition for AWS::IVS::RecordingConfiguration
AWS::IVS::Stage,IVS,Stage,ivs.stage,Arn,,Arn,yes,yes,,Resource Type definition for AWS::IVS::Stage.
AWS::IVS::StorageConfiguration,IVS,StorageConfiguration,ivs.storage_configuration,Arn,,Arn,yes,yes,,Resource Type definition for AWS::IVS::StorageConfiguration
AWS::IVS::StreamKey,IVS,StreamKey,ivs.stream_key,Arn,,Arn,yes,yes,,Resource Type definition for AWS::IVS::StreamKey
AWS::IVSChat::LoggingConfiguration,IVSChat,LoggingConfiguration,ivschat.logging_configuration,Arn,,Arn,yes,yes,,Resource type definition for AWS::IVSChat::LoggingConfiguration.
AWS::IVSChat::Room,IVSChat,Room,ivschat.room,Arn,,Arn,yes,yes,,Resource type definition for AWS::IVSChat::Room.
AWS::IdentityStore::Group,IdentityStore,Group,identitystore.group,"GroupId,IdentityStoreId",,,yes,no,,Resource Type definition for AWS::IdentityStore::Group
AWS::IdentityStore::GroupMembership,IdentityStore,GroupMembership,identitystore.group_membership,"MembershipId,IdentityStoreId",,,yes,no,,Resource Type Definition for AWS:IdentityStore::GroupMembership
AWS::ImageBuilder::Component,ImageBuilder,Component,imagebuilder.component,Arn,,Arn,yes,yes,,Resource Type definition for AWS::ImageBuilder::Component
AWS::ImageBuilder::ContainerRecipe,ImageBuilder,ContainerRecipe,imagebuilder.container_recipe,Arn,,Arn,yes,yes,,Resource Type definition for AWS::ImageBuilder::ContainerRecipe
AWS::ImageBuilder::DistributionConfiguration,ImageBuilder,DistributionConfiguration,imagebuilder.distribution_configuration,Arn,,Arn,yes,yes,,Resource Type definition for AWS::ImageBuilder::DistributionConfiguration
AWS::ImageBuilder::Image,ImageBuilder,Image,imagebuilder.image,Arn,,Arn,yes,yes,,Resource Type definition for AWS::ImageBuilder::Image
AWS::ImageBuilder::ImagePipeline,ImageBuilder,ImagePipeline,imagebuilder.image_pipeline,Arn,,Arn,yes,yes,,Resource Type definition for AWS::ImageBuilder::ImagePipeline
AWS::ImageBuilder::ImageRecipe,ImageBuilder,ImageRecipe,imagebuilder.image_recipe,Arn,,Arn,yes,yes,,Resource Type definition for AWS::ImageBuilder::ImageRecipe
AWS::ImageBuilder::InfrastructureConfiguration,ImageBuilder,InfrastructureConfiguration,imagebuilder.infrastructure_configuration,Arn,,Arn,yes,yes,,Resource Type definition for AWS::ImageBuilder::InfrastructureConfiguration
AWS::ImageBuilder::LifecyclePolicy,ImageBuilder,LifecyclePolicy,imagebuilder.lifecycle_policy,Arn,,Arn,yes,yes,,Resource Type definition for AWS::ImageBuilder::LifecyclePolicy
AWS::ImageBuilder::Workflow,ImageBuilder,Workflow,imagebuilder.workflow,Arn,,Arn,yes,yes,,Resource schema for AWS::ImageBuilder::Workflow
AWS::Inspector::AssessmentTarget,Inspector,AssessmentTarget,inspector.assessment_target,Arn,,Arn,yes,no,,Resource Type definition for AWS::Inspector::AssessmentTarget
AWS::Inspector::AssessmentTemplate,Inspector,AssessmentTemplate,inspector.assessment_template,Arn,,Arn,yes,no,,Resource Type definition for AWS::Inspector::AssessmentTemplate
AWS::Inspector::ResourceGroup,Inspector,ResourceGroup,inspector.resource_group,Arn,,Arn,yes,no,,Resource Type definition for AWS::Inspector::ResourceGroup
AWS::InspectorV2::CisScanConfiguration,InspectorV2,CisScanConfiguration,inspectorv2.cis_scan_configuration,Arn,,Arn,yes,yes,,CIS Scan Configuration resource schema
AWS::InspectorV2::CodeSecurityIntegration,InspectorV2,CodeSecurityIntegration,inspectorv2.code_security_integration,Arn,,Arn,yes,yes,,Inspector CodeSecurityIntegration resource schema
AWS::InspectorV2::CodeSecurityScanConfiguration,InspectorV2,CodeSecurityScanConfiguration,inspectorv2.code_security_scan_configuration,Arn,,Arn,yes,yes,,Inspector CodeSecurityScanConfiguration resource schema
AWS::InspectorV2::Filter,InspectorV2,Filter,inspectorv2.filter,Arn,,Arn,yes,yes,,Inspector Filter resource schema
AWS::Interconnect::Connection,Interconnect,Connection,interconnect.connection,Arn,ConnectionId,Arn,yes,yes,,Resource Type definition for AWS::Interconnect::Connection. Creates a managed network connection between AWS and a partner cloud service provider.
AWS::InternetMonitor::Monitor,InternetMonitor,Monitor,internetmonitor.monitor,MonitorName,,MonitorArn,yes,yes,,"Represents a monitor, which defines the monitoring boundaries for measurements that Internet Monitor publishes information about for an application"
AWS::Invoicing::InvoiceUnit,Invoicing,InvoiceUnit,invoicing.invoice_unit,InvoiceUnitArn,,InvoiceUnitArn,yes,yes,,An invoice unit is a set of mutually exclusive accounts that correspond to your business entity. Invoice units allow you to separate AWS account costs and configures your invoice for each business ent
AWS::IoT::AccountAuditConfiguration,IoT,AccountAuditConfiguration,iot.account_audit_configuration,AccountId,,,yes,no,,Configures the Device Defender audit settings for this account. Settings include how audit notifications are sent and which audit checks are enabled or disabled.
AWS::IoT::Authorizer,IoT,Authorizer,iot.authorizer,AuthorizerName,,Arn,yes,yes,,Creates an authorizer.
AWS::IoT::BillingGroup,IoT,BillingGroup,iot.billing_group,BillingGroupName,,Arn,yes,yes,,Resource Type definition for AWS::IoT::BillingGroup
AWS::IoT::CACertificate,IoT,CACertificate,iot.ca_certificate,Id,,Arn,yes,yes,,Registers a CA Certificate in IoT.
AWS::IoT::Certificate,IoT,Certificate,iot.certificate,Id,,Arn,yes,no,,Use the AWS::IoT::Certificate resource to declare an AWS IoT X.509 certificate.
AWS::IoT::CertificateProvider,IoT,CertificateProvider,iot.certificate_provider,CertificateProviderName,,Arn,yes,yes,,Use the AWS::IoT::CertificateProvider resource to declare an AWS IoT Certificate Provider.
AWS::IoT::Command,IoT,Command,iot.command,CommandId,,CommandArn,yes,yes,,Represents the resource definition of AWS IoT Command.
AWS::IoT::CustomMetric,IoT,CustomMetric,iot.custom_metric,MetricName,,MetricArn,yes,yes,,A custom metric published by your devices to Device Defender.
AWS::IoT::Dimension,IoT,Dimension,iot.dimension,Name,,Arn,yes,yes,,A dimension can be used to limit the scope of a metric used in a security profile for AWS IoT Device Defender.
AWS::IoT::DomainConfiguration,IoT,DomainConfiguration,iot.domain_configuration,DomainConfigurationName,,Arn,yes,yes,,Create and manage a Domain Configuration
AWS::IoT::EncryptionConfiguration,IoT,EncryptionConfiguration,iot.encryption_configuration,AccountId,,,yes,no,,Resource Type definition for AWS::IoT::EncryptionConfiguration
AWS::IoT::FleetMetric,IoT,FleetMetric,iot.fleet_metric,MetricName,,MetricArn,yes,yes,,An aggregated metric of certain devices in your fleet
AWS::IoT::JobTemplate,IoT,JobTemplate,iot.job_template,JobTemplateId,,Arn,yes,yes,,Resource Type definition for AWS::IoT::JobTemplate. Job templates enable you to preconfigure jobs so that you can deploy them to multiple sets of target devices.
AWS::IoT::Logging,IoT,Logging,iot.logging,AccountId,,,yes,no,,Logging Options enable you to configure your IoT V2 logging role and default logging level so that you can monitor progress events logs as it passes from your devices through Iot core service.
AWS::IoT::MitigationAction,IoT,MitigationAction,iot.mitigation_action,ActionName,,MitigationActionArn,yes,yes,,Mitigation actions can be used to take actions to mitigate issues that were found in an Audit finding or Detect violation.
AWS::IoT::Policy,IoT,Policy,iot.policy,Id,,Arn,yes,yes,,Resource Type definition for AWS::IoT::Policy
AWS::IoT::PolicyPrincipalAttachment,IoT,PolicyPrincipalAttachment,iot.policy_principal_attachment,Id,,,no,no,,Resource Type definition for AWS::IoT::PolicyPrincipalAttachment
AWS::IoT::ProvisioningTemplate,IoT,ProvisioningTemplate,iot.provisioning_template,TemplateName,,TemplateArn,yes,yes,,Creates a fleet provisioning template.
AWS::IoT::ResourceSpecificLogging,IoT,ResourceSpecificLogging,iot.resource_specific_logging,TargetId,,,yes,no,,Resource-specific logging allows you to specify a logging level for a specific thing group.
AWS::IoT::RoleAlias,IoT,RoleAlias,iot.role_alias,RoleAlias,,RoleAliasArn,yes,yes,,Use the AWS::IoT::RoleAlias resource to declare an AWS IoT RoleAlias.
AWS::IoT::ScheduledAudit,IoT,ScheduledAudit,iot.scheduled_audit,ScheduledAuditName,,ScheduledAuditArn,yes,yes,,Scheduled audits can be used to specify the checks you want to perform during an audit and how often the audit should be run.
AWS::IoT::SecurityProfile,IoT,SecurityProfile,iot.security_profile,SecurityProfileName,,SecurityProfileArn,yes,yes,,A security profile defines a set of expected behaviors for devices in your account.
AWS::IoT::SoftwarePackage,IoT,SoftwarePackage,iot.software_package,PackageName,,PackageArn,yes,yes,,resource definition
AWS::IoT::SoftwarePackageVersion,IoT,SoftwarePackageVersion,iot.software_package_version,"PackageName,VersionName",,PackageVersionArn,yes,yes,,resource definition
AWS::IoT::Thing,IoT,Thing,iot.thing,ThingName,,Arn,yes,no,,Resource Type definition for AWS::IoT::Thing
AWS::IoT::ThingGroup,IoT,ThingGroup,iot.thing_group,ThingGroupName,,Arn,yes,yes,,Resource Type definition for AWS::IoT::ThingGroup
AWS::IoT::ThingPrincipalAttachment,IoT,ThingPrincipalAttachment,iot.thing_principal_attachment,Id,,,no,no,,Resource Type definition for AWS::IoT::ThingPrincipalAttachment
AWS::IoT::ThingType,IoT,ThingType,iot.thing_type,ThingTypeName,,Arn,yes,yes,,Resource Type definition for AWS::IoT::ThingType
AWS::IoT::TopicRule,IoT,TopicRule,iot.topic_rule,RuleName,,Arn,yes,yes,,Resource Type definition for AWS::IoT::TopicRule
AWS::IoT::TopicRuleDestination,IoT,TopicRuleDestination,iot.topic_rule_destination,Arn,,Arn,yes,no,,Resource Type definition for AWS::IoT::TopicRuleDestination
AWS::IoTAnalytics::Channel,IoTAnalytics,Channel,iotanalytics.channel,ChannelName,,,yes,no,,Resource Type definition for AWS::IoTAnalytics::Channel
AWS::IoTAnalytics::Dataset,IoTAnalytics,Dataset,iotanalytics.dataset,DatasetName,,,yes,no,,Resource Type definition for AWS::IoTAnalytics::Dataset
AWS::IoTAnalytics::Datastore,IoTAnalytics,Datastore,iotanalytics.datastore,DatastoreName,,,yes,no,,Resource Type definition for AWS::IoTAnalytics::Datastore
AWS::IoTAnalytics::Pipeline,IoTAnalytics,Pipeline,iotanalytics.pipeline,PipelineName,,,yes,no,,Resource Type definition for AWS::IoTAnalytics::Pipeline
AWS::IoTCoreDeviceAdvisor::SuiteDefinition,IoTCoreDeviceAdvisor,SuiteDefinition,iotcoredeviceadvisor.suite_definition,SuiteDefinitionId,,SuiteDefinitionArn,yes,yes,,An example resource schema demonstrating some basic constructs and validation rules.
AWS::IoTEvents::AlarmModel,IoTEvents,AlarmModel,iotevents.alarm_model,AlarmModelName,,,yes,yes,,"Represents an alarm model to monitor an ITE input attribute. You can use the alarm to get notified when the value is outside a specified range. For more information, see [Create an alarm model](https:"
AWS::IoTEvents::DetectorModel,IoTEvents,DetectorModel,iotevents.detector_model,DetectorModelName,,,yes,yes,,"The AWS::IoTEvents::DetectorModel resource creates a detector model. You create a *detector model* (a model of your equipment or process) using *states*. For each state, you define conditional (Boolea"
AWS::IoTEvents::Input,IoTEvents,Input,iotevents.input,InputName,,,yes,yes,,"The AWS::IoTEvents::Input resource creates an input. To monitor your devices and processes, they must have a way to get telemetry data into ITE. This is done by sending messages as *inputs* to ITE. Fo"
AWS::IoTFleetWise::Campaign,IoTFleetWise,Campaign,iotfleetwise.campaign,Name,,Arn,yes,yes,,Definition of AWS::IoTFleetWise::Campaign Resource Type
AWS::IoTFleetWise::DecoderManifest,IoTFleetWise,DecoderManifest,iotfleetwise.decoder_manifest,Name,,Arn,yes,yes,,Definition of AWS::IoTFleetWise::DecoderManifest Resource Type
AWS::IoTFleetWise::Fleet,IoTFleetWise,Fleet,iotfleetwise.fleet,Id,,Arn,yes,yes,,Definition of AWS::IoTFleetWise::Fleet Resource Type
AWS::IoTFleetWise::ModelManifest,IoTFleetWise,ModelManifest,iotfleetwise.model_manifest,Name,,Arn,yes,yes,,Definition of AWS::IoTFleetWise::ModelManifest Resource Type
AWS::IoTFleetWise::SignalCatalog,IoTFleetWise,SignalCatalog,iotfleetwise.signal_catalog,Name,,Arn,yes,yes,,Definition of AWS::IoTFleetWise::SignalCatalog Resource Type
AWS::IoTFleetWise::StateTemplate,IoTFleetWise,StateTemplate,iotfleetwise.state_template,Name,,Arn,yes,yes,,Definition of AWS::IoTFleetWise::StateTemplate Resource Type
AWS::IoTFleetWise::Vehicle,IoTFleetWise,Vehicle,iotfleetwise.vehicle,Name,,Arn,yes,yes,,Definition of AWS::IoTFleetWise::Vehicle Resource Type
AWS::IoTSiteWise::AccessPolicy,IoTSiteWise,AccessPolicy,iotsitewise.access_policy,AccessPolicyId,,AccessPolicyArn,yes,no,,Resource schema for AWS::IoTSiteWise::AccessPolicy
AWS::IoTSiteWise::Asset,IoTSiteWise,Asset,iotsitewise.asset,AssetId,,AssetArn,yes,yes,,Resource schema for AWS::IoTSiteWise::Asset
AWS::IoTSiteWise::AssetModel,IoTSiteWise,AssetModel,iotsitewise.asset_model,AssetModelId,,AssetModelArn,yes,yes,,Resource schema for AWS::IoTSiteWise::AssetModel
AWS::IoTSiteWise::ComputationModel,IoTSiteWise,ComputationModel,iotsitewise.computation_model,ComputationModelId,,ComputationModelArn,yes,yes,,Resource schema for AWS::IoTSiteWise::ComputationModel.
AWS::IoTSiteWise::Dashboard,IoTSiteWise,Dashboard,iotsitewise.dashboard,DashboardId,DashboardArn,DashboardArn,yes,yes,,Resource schema for AWS::IoTSiteWise::Dashboard
AWS::IoTSiteWise::Dataset,IoTSiteWise,Dataset,iotsitewise.dataset,DatasetId,,DatasetArn,yes,yes,,Resource schema for AWS::IoTSiteWise::Dataset.
AWS::IoTSiteWise::Gateway,IoTSiteWise,Gateway,iotsitewise.gateway,GatewayId,,,yes,yes,,Resource schema for AWS::IoTSiteWise::Gateway
AWS::IoTSiteWise::Portal,IoTSiteWise,Portal,iotsitewise.portal,PortalId,PortalArn,PortalArn,yes,yes,,Resource schema for AWS::IoTSiteWise::Portal
AWS::IoTSiteWise::Project,IoTSiteWise,Project,iotsitewise.project,ProjectId,,ProjectArn,yes,yes,,Resource schema for AWS::IoTSiteWise::Project
AWS::IoTThingsGraph::FlowTemplate,IoTThingsGraph,FlowTemplate,iotthingsgraph.flow_template,Id,,,no,no,,Resource Type definition for AWS::IoTThingsGraph::FlowTemplate
AWS::IoTTwinMaker::ComponentType,IoTTwinMaker,ComponentType,iottwinmaker.component_type,"WorkspaceId,ComponentTypeId",,Arn,yes,yes,,Resource schema for AWS::IoTTwinMaker::ComponentType
AWS::IoTTwinMaker::Entity,IoTTwinMaker,Entity,iottwinmaker.entity,"WorkspaceId,EntityId",,Arn,yes,yes,,Resource schema for AWS::IoTTwinMaker::Entity
AWS::IoTTwinMaker::Scene,IoTTwinMaker,Scene,iottwinmaker.scene,"WorkspaceId,SceneId",,Arn,yes,yes,,Resource schema for AWS::IoTTwinMaker::Scene
AWS::IoTTwinMaker::SyncJob,IoTTwinMaker,SyncJob,iottwinmaker.sync_job,"WorkspaceId,SyncSource",,Arn,yes,yes,,Resource schema for AWS::IoTTwinMaker::SyncJob
AWS::IoTTwinMaker::Workspace,IoTTwinMaker,Workspace,iottwinmaker.workspace,WorkspaceId,,Arn,yes,yes,,Resource schema for AWS::IoTTwinMaker::Workspace
AWS::IoTWireless::Destination,IoTWireless,Destination,iotwireless.destination,Name,,Arn,yes,yes,,Destination's resource schema demonstrating some basic constructs and validation rules.
AWS::IoTWireless::DeviceProfile,IoTWireless,DeviceProfile,iotwireless.device_profile,Id,,Arn,yes,yes,,Device Profile's resource schema demonstrating some basic constructs and validation rules.
AWS::IoTWireless::FuotaTask,IoTWireless,FuotaTask,iotwireless.fuota_task,Id,,Arn,yes,yes,,Create and manage FUOTA tasks.
AWS::IoTWireless::MulticastGroup,IoTWireless,MulticastGroup,iotwireless.multicast_group,Id,,Arn,yes,yes,,Create and manage Multicast groups.
AWS::IoTWireless::NetworkAnalyzerConfiguration,IoTWireless,NetworkAnalyzerConfiguration,iotwireless.network_analyzer_configuration,Name,,Arn,yes,yes,,Create and manage NetworkAnalyzerConfiguration resource.
AWS::IoTWireless::PartnerAccount,IoTWireless,PartnerAccount,iotwireless.partner_account,PartnerAccountId,,Arn,yes,yes,,Create and manage partner account
AWS::IoTWireless::ServiceProfile,IoTWireless,ServiceProfile,iotwireless.service_profile,Id,,Arn,yes,yes,,An example resource schema demonstrating some basic constructs and validation rules.
AWS::IoTWireless::TaskDefinition,IoTWireless,TaskDefinition,iotwireless.task_definition,Id,,Arn,yes,yes,,Creates a gateway task definition.
AWS::IoTWireless::WirelessDevice,IoTWireless,WirelessDevice,iotwireless.wireless_device,Id,,Arn,yes,yes,,"Create and manage wireless gateways, including LoRa gateways."
AWS::IoTWireless::WirelessDeviceImportTask,IoTWireless,WirelessDeviceImportTask,iotwireless.wireless_device_import_task,Id,,Arn,yes,yes,,Wireless Device Import Tasks
AWS::IoTWireless::WirelessGateway,IoTWireless,WirelessGateway,iotwireless.wireless_gateway,Id,,Arn,yes,yes,,"Create and manage wireless gateways, including LoRa gateways."
AWS::KMS::Alias,KMS,Alias,kms.alias,AliasName,,,yes,no,,The ``AWS::KMS::Alias`` resource specifies a display name for a [KMS key](https://docs.aws.amazon.com/kms/latest/developerguide/concepts.html#kms_keys). You can use an alias to identify a KMS key in t
AWS::KMS::Key,KMS,Key,kms.key,KeyId,,Arn,yes,yes,,The ``AWS::KMS::Key`` resource specifies an [KMS key](https://docs.aws.amazon.com/kms/latest/developerguide/concepts.html#kms_keys) in KMSlong. You can use this resource to create symmetric encryption
AWS::KMS::ReplicaKey,KMS,ReplicaKey,kms.replica_key,KeyId,,Arn,yes,yes,,The AWS::KMS::ReplicaKey resource specifies a multi-region replica AWS KMS key in AWS Key Management Service (AWS KMS).
AWS::KafkaConnect::Connector,KafkaConnect,Connector,kafkaconnect.connector,ConnectorArn,ConnectorName,ConnectorArn,yes,yes,,Resource Type definition for AWS::KafkaConnect::Connector
AWS::KafkaConnect::CustomPlugin,KafkaConnect,CustomPlugin,kafkaconnect.custom_plugin,CustomPluginArn,Name,CustomPluginArn,yes,yes,,An example resource schema demonstrating some basic constructs and validation rules.
AWS::KafkaConnect::WorkerConfiguration,KafkaConnect,WorkerConfiguration,kafkaconnect.worker_configuration,WorkerConfigurationArn,Name,WorkerConfigurationArn,yes,yes,,"The configuration of the workers, which are the processes that run the connector logic."
AWS::Kendra::DataSource,Kendra,DataSource,kendra.data_source,"Id,IndexId",,Arn,yes,yes,,Kendra DataSource
AWS::Kendra::Faq,Kendra,Faq,kendra.faq,"Id,IndexId",,Arn,yes,yes,,A Kendra FAQ resource
AWS::Kendra::Index,Kendra,Index,kendra.index,Id,,Arn,yes,yes,,A Kendra index
AWS::KendraRanking::ExecutionPlan,KendraRanking,ExecutionPlan,kendra-ranking.execution_plan,Id,,Arn,yes,yes,,A KendraRanking Rescore execution plan
AWS::Kinesis::ResourcePolicy,Kinesis,ResourcePolicy,kinesis.resource_policy,ResourceArn,,ResourceArn,yes,no,2,Resource Type definition for AWS::Kinesis::ResourcePolicy
AWS::Kinesis::Stream,Kinesis,Stream,kinesis.stream,Name,,Arn,yes,yes,2,Resource Type definition for AWS::Kinesis::Stream
AWS::Kinesis::StreamConsumer,Kinesis,StreamConsumer,kinesis.stream_consumer,ConsumerARN,,ConsumerARN,yes,yes,,Resource Type definition for AWS::Kinesis::StreamConsumer
AWS::KinesisAnalytics::Application,KinesisAnalytics,Application,kinesisanalytics.application,Id,,,no,no,,Resource Type definition for AWS::KinesisAnalytics::Application
AWS::KinesisAnalytics::ApplicationOutput,KinesisAnalytics,ApplicationOutput,kinesisanalytics.application_output,Id,,,no,no,,Resource Type definition for AWS::KinesisAnalytics::ApplicationOutput
AWS::KinesisAnalytics::ApplicationReferenceDataSource,KinesisAnalytics,ApplicationReferenceDataSource,kinesisanalytics.application_reference_data_source,Id,,,no,no,,Resource Type definition for AWS::KinesisAnalytics::ApplicationReferenceDataSource
AWS::KinesisAnalyticsV2::Application,KinesisAnalyticsV2,Application,kinesisanalyticsv2.application,ApplicationName,,,yes,yes,,"Creates an Amazon Kinesis Data Analytics application. For information about creating a Kinesis Data Analytics application, see [Creating an Application](https://docs.aws.amazon.com/kinesisanalytics/la"
AWS::KinesisAnalyticsV2::ApplicationCloudWatchLoggingOption,KinesisAnalyticsV2,ApplicationCloudWatchLoggingOption,kinesisanalyticsv2.application_cloud_watch_logging_option,Id,,,no,no,,Resource Type definition for AWS::KinesisAnalyticsV2::ApplicationCloudWatchLoggingOption
AWS::KinesisAnalyticsV2::ApplicationOutput,KinesisAnalyticsV2,ApplicationOutput,kinesisanalyticsv2.application_output,Id,,,no,no,,Resource Type definition for AWS::KinesisAnalyticsV2::ApplicationOutput
AWS::KinesisAnalyticsV2::ApplicationReferenceDataSource,KinesisAnalyticsV2,ApplicationReferenceDataSource,kinesisanalyticsv2.application_reference_data_source,Id,,,no,no,,Resource Type definition for AWS::KinesisAnalyticsV2::ApplicationReferenceDataSource
AWS::KinesisFirehose::DeliveryStream,KinesisFirehose,DeliveryStream,kinesisfirehose.delivery_stream,DeliveryStreamName,,Arn,yes,yes,7,Resource Type definition for AWS::KinesisFirehose::DeliveryStream
AWS::KinesisVideo::SignalingChannel,KinesisVideo,SignalingChannel,kinesisvideo.signaling_channel,Name,,Arn,yes,yes,,Resource Type Definition for AWS::KinesisVideo::SignalingChannel
AWS::KinesisVideo::Stream,KinesisVideo,Stream,kinesisvideo.stream,Name,,Arn,yes,yes,,Resource Type Definition for AWS::KinesisVideo::Stream
AWS::LakeFormation::DataCellsFilter,LakeFormation,DataCellsFilter,lakeformation.data_cells_filter,"TableCatalogId,DatabaseName,TableName,Name",,,yes,no,,A resource schema representing a Lake Formation Data Cells Filter.
AWS::LakeFormation::DataLakeSettings,LakeFormation,DataLakeSettings,lakeformation.data_lake_settings,Id,,,no,no,,Resource Type definition for AWS::LakeFormation::DataLakeSettings
AWS::LakeFormation::Permissions,LakeFormation,Permissions,lakeformation.permissions,Id,,,no,no,,Resource Type definition for AWS::LakeFormation::Permissions
AWS::LakeFormation::PrincipalPermissions,LakeFormation,PrincipalPermissions,lakeformation.principal_permissions,"PrincipalIdentifier,ResourceIdentifier",,,yes,no,,The ``AWS::LakeFormation::PrincipalPermissions`` resource represents the permissions that a principal has on a GLUDC resource (such as GLUlong databases or GLUlong tables). When you create a ``Princip
AWS::LakeFormation::Resource,LakeFormation,Resource,lakeformation.resource,Id,,ResourceArn,no,no,,Resource Type definition for AWS::LakeFormation::Resource
AWS::LakeFormation::Tag,LakeFormation,Tag,lakeformation.tag,TagKey,,,yes,no,,A resource schema representing a Lake Formation Tag.
